"","COD_UF","SIGLA_UF","POP","HAN_OBS_Y","INCIDENCE_OBSERVED_PER100K","W1","X1","X2","X3","X4","X5","PROP_GRAU2","CONT_EXAM","COB_BOLSAF","COB_PSF","MED_MORA_DOM","URBANISATION","incidence_corrected_per100k_posterior_mean","total_cases_T_corrected_HPD90lower","total_cases_T_corrected_posterior_mean","total_cases_T_corrected_HPD90upper","unreported_cases_HPD90lower","unreported_cases_posterior_mean","unreported_cases_HPD90upper","epsilon_posterior_mean","theta_posterior_mean","phi_posterior_mean","delta_posterior_mean","gamma_posterior_mean","detection_rate_HPD90lower","detection_rate_posterior_mean","detection_rate_HPD90upper"
"1","11","RO",14425042,7899,59.9247552401908,-3.22849665425887,2.23193419625156,-2.12513713165219,-15.4518183295686,-0.0989983054946001,-3.39125734282989,6.60756891951162,88.2107277304833,91.1842331789502,55.3079990083786,3.30224609487735,68.56926277875,65.8642634973701,7918,8706,9561,19,807,1662,0.911575,1088.149175,1.529475,-0.021875,-0.0154625,0.8262,0.9073,0.9976
"2","12","AC",6635387,1878,29.9327948337717,-4.70730216252494,-7.8537430916894,3.11241329651722,-4.00443304591406,0.821187504389955,-7.58606880357989,5.12876341124556,78.1250504425424,96.4217836071196,66.7553842920332,4.2224319047619,64.374451318,32.7974306336157,1881,2067,2263,3,189,385,0.91886,413.73156,1.25238,-0.02932,-0.00826,0.8299,0.9086,0.9984
"3","13","AM",32189734,5955,24.1649296184413,0.261844261840336,-4.55397942347418,4.16952400034225,-10.0662766616958,1.58911988534234,-11.6467030977337,10.0979098356108,81.4248141107576,97.4788943109446,60.6935406762515,4.99036428571429,60.3138170238462,27.1520068922889,5966,6718,7543,11,763,1588,0.896230769230769,517.075723076923,1.20623076923077,-0.0143692307692308,-0.000684615384615384,0.7895,0.8864,0.9982
"4","14","RR",4100840,1235,36.1299150428173,0.228191049367495,-11.722889182601,0.291509367417383,-5.75648463595456,0.767422266294726,-16.9733618090799,10.064256623138,74.2559043516307,93.6008796780198,65.0033327019927,4.16866666666667,54.9871583125,40.1666084691945,1237,1385,1542,2,150,307,0.898775,345.22165,1.36495,0.06065,0.0157,0.8009,0.8917,0.9984
"5","15","PA",69211272,34041,56.7997631585355,-2.79413922266456,-7.50609731250683,3.237784300229,-28.2616407917706,0.788634967230147,-12.5775593511253,7.04192635110593,78.4726962217249,96.5471546108314,42.4981765461766,4.18987936760209,59.3829607704545,62.2390647413486,34102,37378,40932,61,3337,6891,0.911595454545455,1698.62231363636,1.69363181818182,0.0222863636363636,0.0131409090909091,0.8316,0.9107,0.9982
"6","16","AP",6132100,1293,19.3768150899138,-2.43518297175176,-14.0537616739664,4.89744674679524,-1.78228638451917,0.86753684962806,5.28133411342011,7.40088260201873,71.9250318602653,98.2068170573976,68.9775309534281,4.26878125000001,77.241854235,21.7409797356334,1297,1440,1603,4,147,310,0.903675,361.040575,0.8128,-0.087125,-0.0387,0.8066,0.8979,0.9969
"7","17","TO",12508309,9589,75.3837368126657,-3.07217095524392,-1.07808681798916,3.01762221976194,12.4098095835001,0.0233043034870665,3.37347543842011,6.76389461852657,84.9007067162426,96.3269925303643,83.1696269214474,3.42454870385901,75.33399556,83.0042769063603,9604,10539,11554,15,950,1965,0.9133875,1318.01365,1.7363,-0.0169875,0.0027875,0.8299,0.9099,0.9984
"8","21","MA",59275866,35533,49.883355230699,-1.66005888238733,-7.56999720734599,5.58090890499465,12.2241812294321,0.675099479425503,-13.3130382930085,8.17600669138316,78.4087963268858,98.890279215597,82.9839985673794,4.07634387979745,58.6474818285714,55.1786018668269,35677,39193,43035,144,3660,7502,0.906119047619048,1866.50852380952,1.55728571428571,-0.00200952380952381,0.0013,0.8257,0.9066,0.996
"9","22","PI",28299690,11446,35.4076814558668,-4.25527027716686,-1.737339114291,6.04098122558037,24.1512053528539,0.209410398843285,-12.6962697042466,5.58079529660363,84.2414544199408,99.3503515361828,94.9110226908011,3.61065479921523,59.2642504173333,38.6548175532084,11471,12496,13585,25,1050,2139,0.91836,833.0083,1.03963333333333,0.00371333333333333,0.0118066666666667,0.8425,0.916,0.9978
"10","23","CE",77297856,19278,23.0247079051428,-1.85406167343873,1.16462684327245,5.088718967772,19.9856783180752,0.135927909304912,-12.9546565118829,7.98200390033176,87.1434203775042,98.3980892783744,90.7454956560225,3.53717230967686,59.005863609697,25.3982533480181,19342,21301,23459,64,2023,4181,0.903284848484848,645.55286969697,0.517924242424242,-0.00874848484848485,-0.0125060606060606,0.8218,0.905,0.9967
"11","24","RN",29077152,2532,8.20662777332342,0.258839100954634,-18.3918553308569,5.4070452087633,19.8871474794037,0.109226041385299,-5.08207655736936,10.0949046747251,67.5869382033749,98.7164155193657,90.6469648173509,3.51047044175725,66.8784435642105,9.24991664893724,2537,2831,3162,5,299,630,0.887184210526316,149.468926315789,-0.426157894736842,-0.0443315789473684,-0.0469631578947368,0.8008,0.8944,0.998
"12","25","PB",34357387,6093,15.2831776846344,0.940660081728849,1.21367142481853,5.94970366516744,24.3307376622767,0.0654575620731084,-7.26933824810163,10.7767256554993,87.1924649590503,99.2590739757698,95.0905550002239,3.46670196244506,64.6911818734783,17.0604600478476,6103,6740,7424,10,647,1331,0.891265217391304,292.701908695652,-0.0226391304347826,0.0264173913043478,0.0183086956521739,0.8207,0.904,0.9984
